2026-06-25 16:27:57 | INFO     | main                      | ΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉ
2026-06-25 16:27:57 | INFO     | main                      | ≡ƒÜÇ AI/ML Fresher Job Discovery System
2026-06-25 16:27:57 | INFO     | main                      |    Time: 2026-06-25 16:27:57 IST
2026-06-25 16:27:57 | INFO     | main                      |    Dry Run: False
2026-06-25 16:27:57 | INFO     | main                      | ΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉ
2026-06-25 16:27:57 | INFO     | main                      | 
≡ƒôé Step 1: Loading job history...
2026-06-25 16:27:57 | INFO     | core.history_manager      | Loaded history: 62 known jobs. Last run: 2026-06-25T10:47:49.052671+00:00
2026-06-25 16:27:57 | INFO     | main                      |    Known jobs: 62
2026-06-25 16:27:57 | INFO     | main                      |    Last run: 2026-06-25T10:47:49.052671+00:00
2026-06-25 16:27:57 | INFO     | main                      | 
≡ƒöì Step 2: Scraping all sources...
2026-06-25 16:27:57 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 16:27:57 | INFO     | scrapers.scraper_manager  | Running: Greenhouse API
2026-06-25 16:27:57 | INFO     | scrapers.base_scraper     | [greenhouse] Starting scrape...
