2026-06-25 21:23:20 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:23:20 | INFO     | scrapers.scraper_manager  | Running: Company Career Pages
2026-06-25 21:23:20 | INFO     | scrapers.base_scraper     | [careers_page] Starting scrape...
2026-06-25 21:23:21 | DEBUG    | scrapers.company_career_scraper | [careers_page] Google: 0 AI/ML jobs found
2026-06-25 21:23:24 | DEBUG    | scrapers.company_career_scraper | [careers_page] Microsoft: 0 AI/ML jobs found
2026-06-25 21:23:25 | DEBUG    | scrapers.company_career_scraper | [careers_page] Amazon: 0 AI/ML jobs found
2026-06-25 21:23:27 | DEBUG    | scrapers.company_career_scraper | [careers_page] NVIDIA: 0 AI/ML jobs found
2026-06-25 21:23:29 | DEBUG    | scrapers.company_career_scraper | [careers_page] Adobe: 0 AI/ML jobs found
2026-06-25 21:23:29 | DEBUG    | scrapers.company_career_scraper | [careers_page] Salesforce: 0 AI/ML jobs found
2026-06-25 21:23:34 | DEBUG    | scrapers.company_career_scraper | [careers_page] Oracle: 0 AI/ML jobs found
2026-06-25 21:23:37 | DEBUG    | scrapers.company_career_scraper | [careers_page] Intel: 0 AI/ML jobs found
2026-06-25 21:23:38 | DEBUG    | scrapers.company_career_scraper | [careers_page] Qualcomm: 0 AI/ML jobs found
2026-06-25 21:23:40 | DEBUG    | scrapers.company_career_scraper | [careers_page] Cisco: 0 AI/ML jobs found
2026-06-25 21:23:41 | DEBUG    | scrapers.company_career_scraper | [careers_page] IBM: 0 AI/ML jobs found
2026-06-25 21:23:56 | DEBUG    | scrapers.company_career_scraper | [careers_page] SAP: 38 AI/ML jobs found
2026-06-25 21:23:57 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 400 for https://www.metacareers.com/jobs?q=machine%20learning&location%5B0%5D=India
2026-06-25 21:24:00 | DEBUG    | scrapers.company_career_scraper | [careers_page] Apple: 0 AI/ML jobs found
2026-06-25 21:24:01 | DEBUG    | scrapers.company_career_scraper | [careers_page] Notion: 19 AI/ML jobs found
2026-06-25 21:24:08 | DEBUG    | scrapers.company_career_scraper | [careers_page] Nutanix: 0 AI/ML jobs found
2026-06-25 21:24:09 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 403 for https://careers.doordash.com/
2026-06-25 21:24:12 | DEBUG    | scrapers.company_career_scraper | [careers_page] Ramp: 0 AI/ML jobs found
2026-06-25 21:24:12 | DEBUG    | scrapers.company_career_scraper | [careers_page] Atlassian: 3 AI/ML jobs found
2026-06-25 21:24:28 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.uber.com/global/en/careers/list/?query=machine%20learning&location=IND-Bangalore
2026-06-25 21:24:30 | DEBUG    | scrapers.company_career_scraper | [careers_page] Snowflake: 0 AI/ML jobs found
2026-06-25 21:24:33 | DEBUG    | scrapers.company_career_scraper | [careers_page] OpenAI: 213 AI/ML jobs found
2026-06-25 21:24:33 | DEBUG    | scrapers.company_career_scraper | [careers_page] Scale AI: 5 AI/ML jobs found
2026-06-25 21:24:35 | DEBUG    | scrapers.company_career_scraper | [careers_page] Hugging Face: 0 AI/ML jobs found
2026-06-25 21:24:38 | DEBUG    | scrapers.company_career_scraper | [careers_page] ServiceNow: 0 AI/ML jobs found
2026-06-25 21:24:39 | DEBUG    | scrapers.company_career_scraper | [careers_page] Confluent: 11 AI/ML jobs found
2026-06-25 21:24:41 | DEBUG    | scrapers.company_career_scraper | [careers_page] CrowdStrike: 0 AI/ML jobs found
2026-06-25 21:24:43 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://jobs.paloaltonetworks.com/en/jobs/?q=machine+learning
2026-06-25 21:24:45 | DEBUG    | scrapers.company_career_scraper | [careers_page] Cohere: 12 AI/ML jobs found
2026-06-25 21:24:46 | DEBUG    | scrapers.company_career_scraper | [careers_page] Perplexity: 0 AI/ML jobs found
2026-06-25 21:24:47 | DEBUG    | scrapers.company_career_scraper | [careers_page] Mistral AI: 4 AI/ML jobs found
2026-06-25 21:24:49 | DEBUG    | scrapers.company_career_scraper | [careers_page] DeepMind: 11 AI/ML jobs found
2026-06-25 21:24:50 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://boards.greenhouse.io/wandb
2026-06-25 21:24:52 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://labelbox.com/careers/
2026-06-25 21:24:54 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.turing.com/careers
